0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:01 +0530] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:12 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAD"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:12 +0530] "GET /api/users/current HTTP/1.1" 200 98 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAE"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:12 +0530] "GET /api/languages/list HTTP/1.1" 200 247 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAF"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:12 +0530] "GET /api/navigation/global HTTP/1.1" 200 575 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAG"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:12 +0530] "GET /js/254.7b62d236.chunk.js HTTP/1.1" 200 - "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAH"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:13 +0530] "GET /images/logo.svg?v=6.6 HTTP/1.1" 200 3507 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAN"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:13 +0530] "GET /images/scanner-logos/sonarqube.svg HTTP/1.1" 200 8422 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAL"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:13 +0530] "GET /images/scanner-logos/msbuild.svg HTTP/1.1" 200 722 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAM"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:13 +0530] "GET /fonts/sonar-5.2.woff? HTTP/1.1" 200 17904 "http://localhost:9000/css/sonar.b06ee6ee.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAP"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:13 +0530] "GET /images/scanner-logos/maven.svg HTTP/1.1" 200 2234 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAO"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:13 +0530] "GET /images/scanner-logos/ant.svg HTTP/1.1" 200 9688 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAR"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:14 +0530] "GET /images/scanner-logos/jenkins.svg HTTP/1.1" 200 14902 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAS"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:14 +0530] "GET /images/scanner-logos/gradle.svg HTTP/1.1" 200 3708 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAQ"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:15 +0530] "GET /api/settings/values?keys=sonar.lf.aboutText HTTP/1.1" 200 15 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAK"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:16 +0530] "GET /api/components/search_projects?ps=1 HTTP/1.1" 200 77 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAI"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:16 +0530] "GET /api/issues/search?resolved=false&facets=types&ps=1&additionalFields=_all HTTP/1.1" 200 500 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAJ"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:33 +0530] "GET /sessions/new HTTP/1.1" 200 - "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAT"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:34 +0530] "GET /js/269.db20532f.chunk.js HTTP/1.1" 200 4847 "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAU"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:34 +0530] "GET /api/l10n/index?locale=en-GB&ts=2017-12-06T06%3A57%3A02%2B0000 HTTP/1.1" 304 - "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAV"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:34 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAW"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:34 +0530] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAX"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:34 +0530] "GET /api/navigation/global HTTP/1.1" 200 575 "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAY"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:13 +0530] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:14 +0530] "GET /favicon.ico HTTP/1.1" 200 5430 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:14 +0530] "GET /api/l10n/index?locale=en-GB&ts=2017-12-06T06%3A57%3A02%2B0000 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:15 +0530] "GET /api/system/status HTTP/1.1" 200 73 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:15 +0530] "GET /api/system/status HTTP/1.1" 200 73 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:20 +0530] "GET /api/system/status HTTP/1.1" 200 73 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:25 +0530] "GET /api/system/status HTTP/1.1" 200 73 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:27 +0530] "GET /web_api HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAA"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /js/1.ee4c5f16.chunk.js HTTP/1.1" 200 - "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAB"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /api/l10n/index?locale=en-GB&ts=2017-12-06T07%3A01%3A14%2B0000 HTTP/1.1" 304 - "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAC"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAD"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /api/users/current HTTP/1.1" 200 98 "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAE"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /api/languages/list HTTP/1.1" 200 247 "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAG"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /api/navigation/global HTTP/1.1" 200 575 "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAF"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:28 +0530] "GET /api/webservices/list?include_internals=true HTTP/1.1" 200 - "http://localhost:9000/web_api" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAH"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:30 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAI"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:33 +0530] "GET / HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAJ"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:34 +0530] "GET /api/l10n/index?locale=en-GB&ts=2017-12-06T07%3A01%3A14%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAK"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:34 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAL"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:34 +0530] "GET /api/users/current HTTP/1.1" 200 98 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAM"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:34 +0530] "GET /api/languages/list HTTP/1.1" 200 247 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAO"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:34 +0530] "GET /api/navigation/global HTTP/1.1" 200 575 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAN"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:34 +0530] "GET /api/settings/values?keys=sonar.lf.aboutText HTTP/1.1" 200 15 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAR"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:35 +0530] "GET /api/components/search_projects?ps=1 HTTP/1.1" 200 77 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAP"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:35 +0530] "GET /api/issues/search?resolved=false&facets=types&ps=1&additionalFields=_all HTTP/1.1" 200 500 "http://localhost:9000/about" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAQ"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:31:53 +0530] "GET /api/webservices/response_example?controller=api%2Flanguages&action=list HTTP/1.1" 200 288 "http://localhost:9000/web_api/api/languages" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAS"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:01 +0530] "GET /api/webservices/response_example?controller=api%2Flanguages&action=list HTTP/1.1" 200 288 "http://localhost:9000/web_api/api/languages" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAT"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:19 +0530] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAU"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:19 +0530] "GET /api/navigation/global HTTP/1.1" 200 575 "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAV"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:25 +0530] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAW"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:25 +0530] "GET / HTTP/1.1" 200 - "http://localhost:9000/sessions/new" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAX"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /api/l10n/index?locale=en-GB&ts=2017-12-06T07%3A01%3A14%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAY"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAZ"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /api/users/current HTTP/1.1" 200 308 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAa"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /api/languages/list HTTP/1.1" 200 247 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAc"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /api/navigation/global HTTP/1.1" 200 574 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAb"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /js/279.c067039a.chunk.js HTTP/1.1" 200 2361 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAd"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /js/240.d3253cad.chunk.js HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAf"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:32:26 +0530] "GET /api/user_tokens/search?login=admin HTTP/1.1" 200 33 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqoRM3BzvpYR2nAAAg"
